Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
1	ā	IE   	(an exclamation)
1	ab-	IE    2. ā̆p-	water, river
1-2	ā̆bel-, ā̆bō̆l-, abel-	IE   	apple
2	abh-	IE    abhro-	swift, quick, abrupt
2	abhro-	IE    abh-	strong, mighty
2-3	abō(n)	IE   	ape, monkey
3	1 ad-	IE    2. ad-	at, by, to
3	2 ad-	IE    1. ad-	to fix, put in order
3	ades-, ados-	IE   	spelt (type of grain)
4	ad(u)-, ad-ro-		current, water course
4-6	ag̑-	IE    ag̑ro-s	to lead, drive, agitate
6-7	ā̆g̑-	aig̑-	goat
7	ag̑h-		animal that may bear young
7	ā̆g̑her-, ā̆g̑hen-, ā̆g̑hes-, or ō̆g̑her etc.	IE   	day, dawn
7-8	agh-	IE    agh-(lo-)	to ail, fear, be depressed
8	agh-(lo-)	agh-	disgusting, unpleasant
8	aghl(u)-		dark cloud; rainy weather
8	agos-	IE   	sin, guilt; fault, blemish
8-9	agro-, egro-?		first, highest; apex, beginning
9	ag̑ro-s	IE    ag̑-	field, acre
9	agu̯(e)sī, aksī	IE   	axe
9	agu̯h-no-s	IE   	lamb
10	1 ai	aik-	(an exclamation)
10	2 ai-		to drive, close in; harm, overwhelm
10	3 ai-	IE   	to give
10-11	ai-ti-, ai-to-, oi-to-	IE   	part, portion
11	4 ā̆i-	IE    ai-dh-	to burn, shine
11	5 ai- : oi-	IE   	oath, significant speech
11	aid-	oid-	to swell; strong
11-12	ai-dh-, i-dh-, nasalized i-n-dh-	IE    ā̆ier-	to burn, shine
12	ā̆ier-, ā̆ien-	IE    ai̯os-	day(light), morning
13	aig̑-	IE    ā̆g̑-	goat
13	1 aig-, nasalized ing-	IE   	ill, sick; depressed, dispirited
13	2 aig-	IE   	oak
13-14	3 aig-	IE   	to swing, vibrate, move violently
14	aigu̯h-	IE   	to be ashamed
14-15	ā(i)g̑h- : īg̑h-		to need, desire
15	ā̆ik̑- : ī̆k̑-	IE   	pike, spear, spit
15	aik-	IE    1. ai	to call to
15-16	ai̯os-	IE    aisk-	ore, metal (copper, bronze, iron)
16	ai-rā		(type of grass)
16	1 ais-	IE   	to wish, desire, ask/search for
16	2 ais-	IE   	to respect, worship, be in awe
16-17	aisk-	IE    ai-tro-	clear, bright, shining
17	ai-tro-	4. ā̆i-	sharp, bitter
17-18	aiu̯-, ai̯u-	IE   	vitality, life force
18	1 ak̑-, ak̑ō-		to eat
18-22	2 ak̑-, ok̑-	IE    ok̑tō(u)	sharp, acute, angular; stone
23	akkā		mama (nursery word)
23	ak̑ru	dak̑ru-	tear(drop)
23	aku̯-		to hurt, damage
23	aku̯ā-, more accurately əku̯ā, ēku̯-	IE   	aqua, water, river
24-26	1 al-, ol-	IE    ario-?	beyond; other, alien
26-27	2 al-	IE   	to grow, nourish, enhance
27-28	3 ā̆l-	IE   	to roam, wander; be crazy/confused
28	4 al-		to burn
28-29	5 al-	IE   	to mill, grind
29	6 al-, alōu- : aləu-		white, gleaming
29	alā	IE   	hello! (greeting)
29	albhi-	albho-	barley
30-31	albho-	IE    1. el-	white, albino
31-32	aldh-		trough
32	aleq-	IE    areg-	to protect, ward off
32	algh-	IE   	cold, frost, algidity
32-33	algu̯h-	IE   	to gain, earn; price, value
33	alp-		small, weak
33	ālu-, ālo-		a bitter plant?
33-34	alu-, alu-d-, alu-t-	IE   	bitter; ale, beer
